LAST_EXEC_TS	TCODE	TCODE_TEXT	ABAP_PROGRAM	EXEC_COUNT	TOTAL_EXEC_TIME_SEC	AVG_EXEC_TIME_SEC	MAX_EXEC_TIME_SEC	MIN_EXECUTION_MEMORY_SIZE	MAX_EXECUTION_MEMORY_SIZE	TOTAL_EXECUTION_MEMORY_SIZE	SQL_TEXT
20260625174047068570000			CL_NSDM_MTDCSA_PRECOMP========CP	107,936	6,285.140000000	0.058000000	11.122000000	702,512	55,784,456	189,790,705,856	DELETE FROM "MATDOC_EXTRACT" WHERE "MANDT" = ? AND "KEY1" = ? AND "KEY2" = ? AND "KEY3" = ? AND "KEY4" = ? AND "KEY5" = ? AND "KEY6" = ?
20260625145445944498000			SAPLZMM011	11,732	6,183.480000000	0.527000000	5.500000000	933,312	4,561,265,484	4,330,216,635,736	SELECT /* FDA WRITE */ "A" . "WERKS" , "A" . "LGORT" , "B" . "MATNR" , "A" . "QTY_CHANGE" FROM /* Entity name: ZCDS_MM_TODAY_MAT_DDL_V2 */ "ZCDSMM0201" ( "P_FRTIM" => ? , "P_TOTIM" => ? , "P_DATS" => ? ) "A" INNER JOIN ? "B" ("WERKS" NVARCHAR(4), "LGORT" NVARCHAR(4), "MATNR" NVARCHAR(40)) ON "A" . "WERKS" = "B" . "WERKS" AND "A" . "LGORT" = "B" . "LGORT" AND "A" . "MATNR" = "B" . "MATNR" WHERE "A" . "MANDT" = ?
20260625174318257606000			CL_FML_ACDOCA_M_EXT_UTIL_AMDP=CP	4,375	5,868.382000000	1.341000000	4.562000000	30,742,136	99,454,360	153,034,210,584	CALL  "CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>PRE_COMPACT_AMDP_PLL#stb2#20230119004507"  (  ? ,  ? ,  ? ,  ? ,  ? ,  ? ,  ? ,  ?  )
20260625165433315064000			ZCL_U4A_APP_ESOQMR00340U======CP	583	5,249.028000000	9.003000000	11.803000000	2,387,473,500	2,606,181,320	1,394,967,410,180	SELECT /* FDA WRITE */ "A" . "WERKS" , "A" . "MATNR" , SUM( "A" . "LABST" ) "LABST" FROM ? "B" ("WERKS" NVARCHAR(4), "MATNR" NVARCHAR(40)) INNER JOIN /* Redirected table: MARD */ "NSDM_V_MARD" "A" ON "A" . "MANDT" = ? AND "A" . "WERKS" = "B" . "WERKS" AND "A" . "MATNR" = "B" . "MATNR" AND "A" . "LGORT" = N'1000' GROUP BY "A" . "WERKS" , "A" . "MATNR"
20260625174318911313000			CL_FML_ACDOCA_M_EXT_UTIL_AMDP=CP	4,375	4,385.484000000	1.002000000	2.973000000	2,887,016	22,291,520	34,194,723,432	"/* procedure: ""SAPHANADB"".""CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>PRE_COMPACT_AMDP_PLL"" line: 291 col: 6 (at pos 11838) */ upsert ""CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>ACDOCA_M_EXTRACT#covw"" ( rclnt,
                               rldnr,
                               rbukrs,
                               kalnr,
                              fiscyearper,
                               belnr,
                               docln,
                               matnr,
                               bwkey,
                               bwtar,
                               ryear,
                               poper,
                               ml_sobkz,
                               ml_kdauf,
                               ml_kdpos,
                               ml_lifnr,
                               ml_pspnr,
                               vmsl,
                               hsl,
                               ksl,
                               osl,
                               vsl,
                               bsl,
                               csl,
                               dsl,
                               esl,
                               fsl,
                               gsl,
                               hvkwrt,
                               sdm_version )
                       select * from ""SYS"".""_SYS_SS2_TMP_TABLE_38093136_LT_FOR_UPSERT_2_7F2925DCAD737547AEB8E114CB7E3EAF_3"" ""LT_FOR_UPSERT"""
20260625135448124437000			SAPLZMM011	18,462	4,206.561000000	0.228000000	5.874000000	945,064	4,247,311,540	2,958,523,510,024	SELECT /* FDA WRITE */ "A" . "WERKS" , "A" . "LGORT" , "B" . "MATNR" , "A" . "QTY_CHANGE" FROM /* Entity name: ZCDS_MM_TODAY_MAT_DDL_V2 */ "ZCDSMM0201" ( "P_FRTIM" => ? , "P_TOTIM" => ? , "P_DATS" => ? ) "A" INNER JOIN ? "B" ("WERKS" NVARCHAR(4), "LGORT" NVARCHAR(4), "MATNR" NVARCHAR(40)) ON "A" . "WERKS" = "B" . "WERKS" AND "A" . "LGORT" = "B" . "LGORT" AND "A" . "MATNR" = "B" . "MATNR" WHERE "A" . "MANDT" = ?
20260625075444963597000	ZMMR5204P	매입 등록	ZMMR52041	8,378	4,101.378000000	0.490000000	1.073000000	520,416	330,465,524	1,489,316,307,936	SELECT /* FDA READ */ "B" . "ELIKZ" FROM "EKET" "A" INNER JOIN "EKPO" "B" ON "A" . "MANDT" = "B" . "MANDT" AND "A" . "EBELN" = "B" . "EBELN" AND "A" . "EBELP" = "B" . "EBELP" INNER JOIN "EKKO" "C" ON "A" . "MANDT" = "C" . "MANDT" AND "B" . "EBELN" = "C" . "EBELN" WHERE "A" . "MANDT" = ? AND "A" . "EINDT" = ? AND "C" . "LIFNR" = ? AND "B" . "WERKS" = ? AND "B" . "ZZRCV_PATH_CODE" = N'1' AND "B" . "LOEKZ" = N''
20260625075444963597000	ZMMR5204Q	매입등록(PP)	ZMMR52041	8,378	4,101.378000000	0.490000000	1.073000000	520,416	330,465,524	1,489,316,307,936	SELECT /* FDA READ */ "B" . "ELIKZ" FROM "EKET" "A" INNER JOIN "EKPO" "B" ON "A" . "MANDT" = "B" . "MANDT" AND "A" . "EBELN" = "B" . "EBELN" AND "A" . "EBELP" = "B" . "EBELP" INNER JOIN "EKKO" "C" ON "A" . "MANDT" = "C" . "MANDT" AND "B" . "EBELN" = "C" . "EBELN" WHERE "A" . "MANDT" = ? AND "A" . "EINDT" = ? AND "C" . "LIFNR" = ? AND "B" . "WERKS" = ? AND "B" . "ZZRCV_PATH_CODE" = N'1' AND "B" . "LOEKZ" = N''
20260625075444963597000	ZMMR5204R	매입등록(축산)	ZMMR52041	8,378	4,101.378000000	0.490000000	1.073000000	520,416	330,465,524	1,489,316,307,936	SELECT /* FDA READ */ "B" . "ELIKZ" FROM "EKET" "A" INNER JOIN "EKPO" "B" ON "A" . "MANDT" = "B" . "MANDT" AND "A" . "EBELN" = "B" . "EBELN" AND "A" . "EBELP" = "B" . "EBELP" INNER JOIN "EKKO" "C" ON "A" . "MANDT" = "C" . "MANDT" AND "B" . "EBELN" = "C" . "EBELN" WHERE "A" . "MANDT" = ? AND "A" . "EINDT" = ? AND "C" . "LIFNR" = ? AND "B" . "WERKS" = ? AND "B" . "ZZRCV_PATH_CODE" = N'1' AND "B" . "LOEKZ" = N''
20260625085443532421000	ZMMR5204P	매입 등록	ZMMR52041	8,082	3,990.545000000	0.494000000	11.496000000	514,136	670,388,624	1,332,664,788,100	SELECT /* FDA READ */ "B" . "ELIKZ" FROM "EKET" "A" INNER JOIN "EKPO" "B" ON "A" . "MANDT" = "B" . "MANDT" AND "A" . "EBELN" = "B" . "EBELN" AND "A" . "EBELP" = "B" . "EBELP" INNER JOIN "EKKO" "C" ON "A" . "MANDT" = "C" . "MANDT" AND "B" . "EBELN" = "C" . "EBELN" WHERE "A" . "MANDT" = ? AND "A" . "EINDT" = ? AND "C" . "LIFNR" = ? AND "B" . "WERKS" = ? AND "B" . "ZZRCV_PATH_CODE" = N'1' AND "B" . "LOEKZ" = N''
20260625085443532421000	ZMMR5204Q	매입등록(PP)	ZMMR52041	8,082	3,990.545000000	0.494000000	11.496000000	514,136	670,388,624	1,332,664,788,100	SELECT /* FDA READ */ "B" . "ELIKZ" FROM "EKET" "A" INNER JOIN "EKPO" "B" ON "A" . "MANDT" = "B" . "MANDT" AND "A" . "EBELN" = "B" . "EBELN" AND "A" . "EBELP" = "B" . "EBELP" INNER JOIN "EKKO" "C" ON "A" . "MANDT" = "C" . "MANDT" AND "B" . "EBELN" = "C" . "EBELN" WHERE "A" . "MANDT" = ? AND "A" . "EINDT" = ? AND "C" . "LIFNR" = ? AND "B" . "WERKS" = ? AND "B" . "ZZRCV_PATH_CODE" = N'1' AND "B" . "LOEKZ" = N''
20260625085443532421000	ZMMR5204R	매입등록(축산)	ZMMR52041	8,082	3,990.545000000	0.494000000	11.496000000	514,136	670,388,624	1,332,664,788,100	SELECT /* FDA READ */ "B" . "ELIKZ" FROM "EKET" "A" INNER JOIN "EKPO" "B" ON "A" . "MANDT" = "B" . "MANDT" AND "A" . "EBELN" = "B" . "EBELN" AND "A" . "EBELP" = "B" . "EBELP" INNER JOIN "EKKO" "C" ON "A" . "MANDT" = "C" . "MANDT" AND "B" . "EBELN" = "C" . "EBELN" WHERE "A" . "MANDT" = ? AND "A" . "EINDT" = ? AND "C" . "LIFNR" = ? AND "B" . "WERKS" = ? AND "B" . "ZZRCV_PATH_CODE" = N'1' AND "B" . "LOEKZ" = N''
20260625125445038016000			SAPLZMM011	17,126	3,703.056000000	0.216000000	5.375000000	931,512	4,177,949,452	2,817,383,169,608	SELECT /* FDA WRITE */ "A" . "WERKS" , "A" . "LGORT" , "B" . "MATNR" , "A" . "QTY_CHANGE" FROM /* Entity name: ZCDS_MM_TODAY_MAT_DDL_V2 */ "ZCDSMM0201" ( "P_FRTIM" => ? , "P_TOTIM" => ? , "P_DATS" => ? ) "A" INNER JOIN ? "B" ("WERKS" NVARCHAR(4), "LGORT" NVARCHAR(4), "MATNR" NVARCHAR(40)) ON "A" . "WERKS" = "B" . "WERKS" AND "A" . "LGORT" = "B" . "LGORT" AND "A" . "MATNR" = "B" . "MATNR" WHERE "A" . "MANDT" = ?
20260625175426632744000			SAPLFCML4H_DOC_COMPRESS	274	3,600.512000000	13.141000000	21.700000000	1,309,448	6,032,734,680	1,395,066,034,328	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260625165419463471000			SAPLFCML4H_DOC_COMPRESS	281	3,587.298000000	12.766000000	21.248000000	1,309,448	5,889,079,128	1,326,315,605,440	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260625105440785943000			SAPLFCML4H_DOC_COMPRESS	552	3,586.833000000	6.498000000	21.812000000	1,309,448	6,104,522,488	1,181,598,786,664	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260625085431677372000			SAPLFCML4H_DOC_COMPRESS	425	3,586.771000000	8.439000000	21.070000000	1,309,448	6,102,419,672	1,216,491,297,816	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260625135442916306000			SAPLFCML4H_DOC_COMPRESS	447	3,584.291000000	8.019000000	22.591000000	1,309,448	6,103,486,424	1,121,742,149,288	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260625095422574447000			SAPLFCML4H_DOC_COMPRESS	439	3,583.954000000	8.164000000	23.084000000	1,309,448	5,758,490,872	1,170,733,374,888	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260625075421674640000			SAPLFCML4H_DOC_COMPRESS	408	3,578.439000000	8.771000000	23.048000000	1,309,448	6,098,204,992	1,191,167,835,456	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
