LAST_EXEC_TS	TCODE	TCODE_TEXT	ABAP_PROGRAM	EXEC_COUNT	TOTAL_EXEC_TIME_SEC	AVG_EXEC_TIME_SEC	MAX_EXEC_TIME_SEC	MIN_EXECUTION_MEMORY_SIZE	MAX_EXECUTION_MEMORY_SIZE	TOTAL_EXECUTION_MEMORY_SIZE	SQL_TEXT
20260622095444492863000			SAPLQOWK	666	34,101.308000000	51.203000000	722.727000000	13,960	38,008	14,587,888	SELECT "MANDT" , "DEST" , "TYPE" , "WKSTATE" , "MAXCONN" , "MAXTIME" , "DATUM" , "UZEIT" , "USERID" , "GROUPDEST" , "RFCMESS" , "QNAME" , "NACTIVE" , "HOSTID" , "QRFCONLY" , "SCHED_WATCH" FROM "QSENDDEST" WHERE "MANDT" = ? AND "DEST" = N'%QSEND_SCHEDULER' FOR UPDATE
20260622095350609609000			SAPLQIWK	290	13,901.324000000	47.936000000	495.289000000	13,960	37,728	6,190,680	SELECT "MANDT" , "TYPE" , "QNAME" , "EXEMODE" , "WKSTATE" , "MAXTIME" , "DATUM" , "UZEIT" , "RFCMESS" , "USERDEST" , "GROUPDEST" , "TDELAY" , "NRETRY" , "USERID" , "NACTIVE" , "HOSTID" , "SCHED_WATCH" FROM "QIWKTAB" WHERE "MANDT" = ? AND "TYPE" = N'R' AND "QNAME" = N'%QIWK_SCHEDULER' FOR UPDATE
20260622165438086053000			CL_BCS_SOC3_MANAGER===========CP	22,702	9,969.174000000	0.439000000	72.914000000	41,704	82,504	1,305,110,712	SELECT "MANDT" , "RELID" , "OBJTP" , "OBJYR" , "OBJNO" , "CLASS" , "OBJID" , "DOCFORMAT" , "CODEPAGE" , "VSI_PROFILE" , "CONT_TYPE" , "FILENAME" , "OBJPARA" , "OBJPARB" , "OBJHEAD" , "OBJCONT" FROM "SOC3N" WHERE "MANDT" = ? AND "RELID" = N'DT' AND "OBJTP" = ? AND "OBJYR" = ? AND "OBJNO" = ?
20260622174509758008000			CL_FML_ACDOCA_M_EXT_UTIL_AMDP=CP	6,066	9,054.271000000	1.493000000	6.201000000	30,779,312	101,903,928	212,811,718,088	CALL  "CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>PRE_COMPACT_AMDP_PLL#stb2#20230119004507"  (  ? ,  ? ,  ? ,  ? ,  ? ,  ? ,  ? ,  ?  )
20260622174128305036000			CL_NSDM_MTDCSA_PRECOMP========CP	127,111	7,873.366000000	0.062000000	10.925000000	702,272	56,144,824	220,595,818,064	DELETE FROM "MATDOC_EXTRACT" WHERE "MANDT" = ? AND "KEY1" = ? AND "KEY2" = ? AND "KEY3" = ? AND "KEY4" = ? AND "KEY5" = ? AND "KEY6" = ?
20260622145445033576000			SAPLZMM011	10,661	7,363.903000000	0.691000000	5.405000000	945,712	3,485,799,192	4,639,990,535,604	SELECT /* FDA WRITE */ "A" . "WERKS" , "A" . "LGORT" , "B" . "MATNR" , "A" . "QTY_CHANGE" FROM /* Entity name: ZCDS_MM_TODAY_MAT_DDL_V2 */ "ZCDSMM0201" ( "P_FRTIM" => ? , "P_TOTIM" => ? , "P_DATS" => ? ) "A" INNER JOIN ? "B" ("WERKS" NVARCHAR(4), "LGORT" NVARCHAR(4), "MATNR" NVARCHAR(40)) ON "A" . "WERKS" = "B" . "WERKS" AND "A" . "LGORT" = "B" . "LGORT" AND "A" . "MATNR" = "B" . "MATNR" WHERE "A" . "MANDT" = ?
20260622174511347389000			CL_FML_ACDOCA_M_EXT_UTIL_AMDP=CP	6,066	7,076.036000000	1.167000000	5.535000000	2,886,848	23,392,680	48,671,743,984	"/* procedure: ""SAPHANADB"".""CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>PRE_COMPACT_AMDP_PLL"" line: 291 col: 6 (at pos 11838) */ upsert ""CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>ACDOCA_M_EXTRACT#covw"" ( rclnt,
                               rldnr,
                               rbukrs,
                               kalnr,
                              fiscyearper,
                               belnr,
                               docln,
                               matnr,
                               bwkey,
                               bwtar,
                               ryear,
                               poper,
                               ml_sobkz,
                               ml_kdauf,
                               ml_kdpos,
                               ml_lifnr,
                               ml_pspnr,
                               vmsl,
                               hsl,
                               ksl,
                               osl,
                               vsl,
                               bsl,
                               csl,
                               dsl,
                               esl,
                               fsl,
                               gsl,
                               hvkwrt,
                               sdm_version )
                       select * from ""SYS"".""_SYS_SS2_TMP_TABLE_38093136_LT_FOR_UPSERT_2_DF7586CCCC1AB640930DC6B8C93B9E7C_3"" ""LT_FOR_UPSERT"""
20260622175447182639000			CL_BCS_SOC3_MANAGER===========CP	140,814	6,616.577000000	0.047000000	59.584000000	42,656	82,904	8,181,005,432	SELECT "MANDT" , "RELID" , "OBJTP" , "OBJYR" , "OBJNO" , "CLASS" , "OBJID" , "DOCFORMAT" , "CODEPAGE" , "VSI_PROFILE" , "CONT_TYPE" , "FILENAME" , "OBJPARA" , "OBJPARB" , "OBJHEAD" , "OBJCONT" FROM "SOC3N" WHERE "MANDT" = ? AND "RELID" = N'DT' AND "OBJTP" = ? AND "OBJYR" = ? AND "OBJNO" = ?
20260622155457308236000			CL_BCS_SOC3_MANAGER===========CP	229,323	5,214.373000000	0.023000000	51.978000000	41,704	82,904	14,078,107,928	SELECT "MANDT" , "RELID" , "OBJTP" , "OBJYR" , "OBJNO" , "CLASS" , "OBJID" , "DOCFORMAT" , "CODEPAGE" , "VSI_PROFILE" , "CONT_TYPE" , "FILENAME" , "OBJPARA" , "OBJPARB" , "OBJHEAD" , "OBJCONT" FROM "SOC3N" WHERE "MANDT" = ? AND "RELID" = N'DT' AND "OBJTP" = ? AND "OBJYR" = ? AND "OBJNO" = ?
20260622145436675963000			ZCL_U4A_APP_ESOQMR00340U======CP	492	5,033.151000000	10.230000000	13.320000000	2,385,661,248	2,604,985,800	1,176,234,118,552	SELECT /* FDA WRITE */ "A" . "WERKS" , "A" . "MATNR" , SUM( "A" . "LABST" ) "LABST" FROM ? "B" ("WERKS" NVARCHAR(4), "MATNR" NVARCHAR(40)) INNER JOIN /* Redirected table: MARD */ "NSDM_V_MARD" "A" ON "A" . "MANDT" = ? AND "A" . "WERKS" = "B" . "WERKS" AND "A" . "MATNR" = "B" . "MATNR" AND "A" . "LGORT" = N'1000' GROUP BY "A" . "WERKS" , "A" . "MATNR"
